epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2622.2,2.82654,3.62651,3.06251,0.17392,0.19271,0.10156,0.03684,4.56801,7.34873,4.81757,0.0017294,0.0017294,0.0017294
43,2684.13,2.75101,3.50352,2.99983,0.24533,0.18229,0.12289,0.04558,4.54999,6.91532,4.76556,0.0017228,0.0017228,0.0017228
44,2746.36,2.76433,3.45776,3.01382,0.34923,0.18229,0.1597,0.05467,4.68032,6.62221,4.87057,0.0017162,0.0017162,0.0017162
45,2808.32,2.81362,3.48568,3.05128,0.38627,0.18229,0.16967,0.06129,4.62319,6.24743,4.96837,0.0017096,0.0017096,0.0017096
46,2870.64,2.62562,3.32119,2.88852,0.32045,0.26562,0.19146,0.07047,4.62177,5.79514,4.92594,0.001703,0.001703,0.001703
47,2932.51,2.6591,3.3738,2.94849,0.36135,0.25,0.19131,0.0625,4.74651,5.90895,4.8483,0.0016964,0.0016964,0.0016964
48,2994.76,2.59556,3.34528,2.93034,0.30595,0.20833,0.16432,0.05935,4.50837,6.583,4.75337,0.0016898,0.0016898,0.0016898
49,3057.63,2.63538,3.28905,2.95571,0.47863,0.17708,0.17125,0.0646,4.32157,6.52873,4.59619,0.0016832,0.0016832,0.0016832
50,3119.87,2.57382,3.20159,2.9093,0.3268,0.21875,0.16327,0.06368,4.22629,6.59818,4.43198,0.0016766,0.0016766,0.0016766
51,3181.5,2.47331,2.99648,2.8013,0.46358,0.16667,0.1688,0.06884,4.38967,6.93712,4.5982,0.00167,0.00167,0.00167
52,3243.61,2.65462,3.2562,2.92736,0.40328,0.1875,0.13826,0.05765,4.44486,6.75478,4.65295,0.0016634,0.0016634,0.0016634
53,3305.45,2.60801,3.27642,2.85794,0.38371,0.16667,0.13576,0.05165,4.45308,6.73794,4.65255,0.0016568,0.0016568,0.0016568
54,3368.34,2.59894,3.09478,2.88652,0.35564,0.16146,0.09541,0.03319,4.60942,7.01336,4.76804,0.0016502,0.0016502,0.0016502
55,3430.46,2.62735,3.21442,2.82348,0.39249,0.19792,0.12783,0.04748,4.54428,6.6827,4.67215,0.0016436,0.0016436,0.0016436
56,3492.69,2.4644,2.77364,2.76854,0.25152,0.22928,0.14661,0.05865,4.60724,6.32467,4.61,0.001637,0.001637,0.001637
57,3554.15,2.46422,2.99608,2.812,0.42169,0.17708,0.15948,0.0657,4.53332,6.30923,4.56141,0.0016304,0.0016304,0.0016304
58,3616.68,2.6203,3.14917,2.87246,0.27455,0.23958,0.14221,0.05705,4.46826,6.25988,4.53828,0.0016238,0.0016238,0.0016238
